,movie,production_budget,domestic_gross_x,worldwide_gross,studio,release_month,release_year,primary_genre,sub_genre,p_l,p_l_%
1323,Robot & Frank,2500000,3317468,4934356,Gold.,8,2012,Comedy,Crime,2434356,197.37424
1324,Super,2500000,327716,593933,IFC,4,2011,Action,Comedy,-1906067,23.75732
1326,Do You Believe?,2300000,12985600,14304931,PFR,3,2015,Drama,-,12004931,621.9535217391305
1328,Eden,2300000,0,0,BG,1,2016,Crime,Drama,-2300000,0.0
1334,Courageous,2000000,34522221,35185884,TriS,9,2011,Drama,-,33185884,1759.2942
1335,It Follows,2000000,14674077,23250755,RTWC,3,2015,Horror,Mystery,21250755,1162.5377500000002
1336,Silent House,2000000,12739737,16610760,ORF,3,2012,Drama,Horror,14610760,830.538
1337,Hardcore Henry,2000000,9252038,17187434,STX,4,2016,Action,Adventure,15187434,859.3717
1338,Winter's Bone,2000000,6531503,16131551,RAtt.,6,2010,Drama,Mystery,14131551,806.5775500000001
1339,The Florida Project,2000000,5904366,11295324,A24,10,2017,Drama,-,9295324,564.7662
1340,All Saints,2000000,5802208,5941994,Affirm,8,2017,Drama,-,3941994,297.0997
1341,Inside Job,2000000,4311834,7799257,SPC,10,2010,Crime,Documentary,5799257,389.96285
1342,We Are Your Friends,2000000,3591417,10153415,WB,8,2015,Drama,Music,8153415,507.67075000000006
1343,The Diary of a Teenage Girl,2000000,1477002,2279959,SPC,8,2015,Comedy,Drama,279959,113.99794999999999
1344,Locke,2000000,1370646,2088390,A24,4,2014,Drama,-,88390,104.4195
1345,Meek's Cutoff,2000000,977772,1869928,Osci.,4,2011,Drama,Western,-130072,93.49640000000001
1346,The Babadook,2000000,950792,7482387,IFC,11,2014,Drama,Horror,5482387,374.11935
1347,Knock Knock,2000000,36336,6328516,LGP,10,2015,Drama,Thriller,4328516,316.4258
1349,The First Time,2000000,17061,17061,Gold.,10,2012,Comedy,Drama,-1982939,0.85305
1350,Buried,1987650,1044143,21270290,LGF,9,2010,Drama,Mystery,19282640,1070.1225064774985
1352,Submarine,1900000,467602,4581937,Wein.,6,2011,Comedy,Drama,2681937,241.1545789473684
1353,The Square,1900000,406216,740932,Magn.,4,2010,Documentary,Drama,-1159068,38.99642105263158
1357,ABCD (Any Body Can Dance),1900000,222098,10137234,UTV,2,2013,Drama,Music,8237234,533.5386315789474
1358,The Last Exorcism,1800000,41034350,70165900,LGF,8,2010,Drama,Horror,68365900,3898.105555555556
1359,Beasts of the Southern Wild,1800000,12795746,23265132,FoxS,6,2012,Adventure,Drama,21465132,1292.5073333333335
1360,Higher Ground,1800000,841056,842693,SPC,8,2011,Drama,-,-957307,46.81627777777778
1361,I Spit on Your Grave,1750000,93051,1278471,Anch.,10,2010,Horror,Thriller,-471529,73.05548571428572
1362,The Lunchbox,1700000,4231500,12231500,SPC,2,2014,Drama,Romance,10531500,719.5
1363,Two Night Stand,1600000,15600,868081,EOne,9,2014,Comedy,Romance,-731919,54.255062499999994
1364,Insidious,1500000,54009150,99870886,FD,4,2011,Horror,Mystery,98370886,6658.059066666667
1365,Unsane,1500000,7690044,14244931,BST,3,2018,Drama,Horror,12744931,949.6620666666666
1366,Mustang,1400000,845464,5552584,Cohen,11,2015,Drama,-,4152584,396.61314285714286
1367,Dear White People,1250000,4404154,5403771,RAtt.,10,2014,Comedy,Drama,4153771,432.30168000000003
1368,The Devil Inside,1000000,53262945,101759490,Par.,1,2012,Horror,-,100759490,10175.949
1369,Unfriended,1000000,32789645,64364198,Uni.,4,2015,Horror,Mystery,63364198,6436.419800000001
1370,You're Next,1000000,18494006,26887177,LGF,8,2013,Action,Comedy,25887177,2688.7177
