,movie,production_budget,domestic_gross_x,worldwide_gross,studio,release_month,release_year,primary_genre,sub_genre,p_l,p_l_%
1390,They Will Have to Kill Us First,600000,0,7943,BBC,3,2016,Documentary,-,-592057,1.3238333333333332
1391,Monsters,500000,237301,5639730,Magn.,10,2010,Drama,Sci-Fi,5139730,1127.946
1393,Rubber,500000,100370,680914,Magn.,4,2011,Comedy,Fantasy,180914,136.18280000000001
1403,Compliance,270000,319285,830700,Magn.,8,2012,Biography,Crime,560700,307.6666666666667
1404,Like Crazy,250000,3395391,3728400,ParV,10,2011,Drama,Romance,3478400,1491.3600000000001
1406,The Canyons,250000,59671,62375,IFC,8,2013,Drama,Thriller,-187625,24.95
1407,Another Earth,175000,1321194,2102779,FoxS,7,2011,Drama,Romance,1927779,1201.588
1408,Sound of My Voice,135000,408015,429448,FoxS,4,2012,Drama,Mystery,294448,318.1096296296296
1409,Your Sister's Sister,120000,1597486,3090593,IFC,6,2012,Comedy,Drama,2970593,2575.494166666667
1410,The Gallows,100000,22764410,41656474,WB (NL),7,2015,Horror,Mystery,41556474,41656.473999999995
1411,A Ghost Story,100000,1594798,2769782,A24,7,2017,Drama,Fantasy,2669782,2769.782
1412,Tiny Furniture,50000,391674,424149,IFC,11,2010,Comedy,Drama,374149,848.298
